Наименование водного объекта;Код водного объекта_x;Наименование поста;Код поста;Расстояние от устья, км;Площадь водосбора, кв.км.;Высота, м;Система высот;ОТКРЫТИЕ;Закрыт;Принадлежность поста;Latitude;Longitude
Сейм;04010001212106200004150 / 106200415;р. Сейм - с. Лебяжье;80197;595;4870;154.67;БС;01.10.1936;Действует;Центрально-Черноземное УГМС;51.68442;36.26813
КАН;17010300412116100021269 / 116102126;р.Кан - с.Ирбейское;9335;355;8710;246.32;БС 77;01.10.1936;Действует;Среднесибирское УГМС;55.65;95.48
ТЫМЬ;20050000212118300000852 / 118300085;р. Тымь - с. Ныш;4034;80;4930;3.91;БС;05.10.1936;Действует;Сахалинское УГМС;51.53672;142.76611
Пур;15040000112115300054847 / 115305484;р. Пур - с. Самбург;11807;86;95100;-2.12;БС 77;07.10.1936;Действует;Обь-Иртышское УГМС;67.00911;78.20748
Карай (Мокрый Карай);05010200112107000006015 / 107000601;р.Карай - с.Подгорное;78160;16;2620;99.22;БС;08.10.1936;Действует;Приволжское УГМС;51.6424;42.79038
Пёза;03030000212103000048975 / 103004897;р.Пёза - д.Сафоново;70399;300;4520;48.58;БС 77;10.10.1936;Действует;Северное УГМС;65.66394;47.7421
Пижма;03050300212103000078427 / 103007842;р. Пижма - д.Боровая;70531;53;4890;20.73;БС;13.10.1936;Действует;Северное УГМС;65.2422;51.86359
ЕНИСЕЙ;17010400112116100000014 / 116100001;р.Енисей - с.Ярцево;9085;1774;1460000;41.63;БС;15.10.1936;Действует;Среднесибирское УГМС;60.25;90.23
ТЫМЬ;20050000212118300000852 / 118300085;р. Тымь - с. Адо-Тымово;4033;168;3420;51.61;БС;20.10.1936;Действует;Сахалинское УГМС;51.12812;142.65694
ХИЛОК;16030000312116300012262 / 116301226;р.Хилок - з.Хайластуй;7102;22;38300;528.29;БС 77;28.10.1936;Действует;Забайкальское УГМС;51.18525;107.00653
ЧУЛЫМ;13010400112115200013824 / 115201391;р.Чулым - пгт Балахта;10317;1604;14700;293.08;БС 77;01.11.1936;Действует;Среднесибирское УГМС;55.37822;91.60341
БИРЮСА;16010200212116200031456 / 116203145;р.Бирюса (Она) - с.Почет;8403;200;50600;50;усл.;17.11.1936;Действует;Среднесибирское УГМС;57.16;96.41
УСА;13010300212115200007818 / 115200781;Р.УСА - Г.МЕЖДУРЕЧЕНСК;10259;8;3320;240.04;БС;01.12.1936;Действует;Западно-Сибирское УГМС;53.68;88.08
Надым;15030000112115300047293 / 115304729;р. Надым - г. Надым (речпорт);11805;110;48000;7.59;БС 77;09.12.1936;Действует;Обь-Иртышское УГМС;65.55411;72.70936
Деп;20030400212118100032101 / 118103210;р.Деп - з.Рычково;6349;126;8440;235.74;БС 77;10.12.1936;Действует;Дальневосточное УГМС;53.39322;127.888
ХИЛОК;16030000312116300012262 / 116301226;р.Хилок - с.Малета;7098;250;25700;662.98;БС 77;10.12.1936;Действует;Забайкальское УГМС;50.84217;108.41125
Ница;14010501912111200006319 / 111200631;р. НИЦА - с. КРАСНОСЛОБОДСКОЕ;12316;17;22000;49.82;БС;17.12.1936;Действует;Уральское УГМС;57.5;64.33
КАМА;14010200112115300004930 / 115300493;Р.КАМА - С.УСТЬ-ЛАМЕНКА;11332;38;2310;101.96;БС;18.12.1936;Действует;Западно-Сибирское УГМС;55.68039;77.27956
Большая Александровка (Александровка);20050000212118300008742 / 118300874;р. Большая Александровка - с. Корсаковка;4179;7.4;167;0.04;БС;01.01.1937;Действует;Сахалинское УГМС;50.87188;142.16523
БАРЫШ;08010500312110000037033 / 110003703;р.Барыш - р.п.Карсун;75643;91;3680;106.92;БС;26.01.1937;Действует;Приволжское УГМС;54.21304;47.02208
ЗЕЯ;20030400412118100022394 / 118102239;р.Зея - с.Малая Сазанка;6291;149;207000;134.44;БС 77;15.02.1937;Действует;Дальневосточное УГМС;51.18411;128.14561
Камчатка, Озёрная Камчатка;19070000112120000012690 / 120001269;р.Камчатка - пос.Лазо;2014;361;18500;10;усл.;09.03.1937;Действует;Камчатское УГМС;55.55;159.73
АМУР;20030600112118100000012 / 118100001;р.Амур - с.Пашково;6030;1533;856000;72.5;БС 77;11.03.1937;Действует;Дальневосточное УГМС;48.88;130.63
ПРОТВА;09010100612110000021991 / 110002199;р. Протва - с. Спас - Загорье;75389;78;3640;119.04;БС;01.04.1937;Действует;Центральное УГМС;55.05282;36.60556
;;ВДХР ИВАНЬКОВСКОЕ - Г. ТВЕРЬ;3901421;;41000;120.16;БС;01.04.1937;Действует;Центральное УГМС;56.83;35.9
Уверь;01040200212102000020421 / 102002042;Р.УВЕРЬ - Д.MЕГЛЕЦЫ;72327;51;1750;132.88;БС;02.04.1937;Действует;Северо-Западное УГМС;58.4262;34.55898
Мрас-Су (Акмрас);13010300212115200008181 / 115200818;Р.МРАС-СУ - Г.МЫСКИ;10266;6;8790;222.68;БС;11.04.1937;Действует;Западно-Сибирское УГМС;53.71416;87.83163
АМГА;18030600812117300046340 / 117304634;р.Амга - с.Харбалах (Терют);3293;137;65400;112.49;БС;24.04.1937;Действует;Якутское УГМС;62.21;134.13
Дулгалаах;18040100112117700007827 / 117700782;р.Дулгалаах - с.Томтор;3430;128;23900;144.76;БС;15.05.1937;Действует;Якутское УГМС;67.11;132.13
Лена (Большая Лена);18030500212117100000011 / 117100001;р.Лена - с.Табага;3042;1527;897000;84.87;БС 77;16.05.1937;Действует;Якутское УГМС;61.85457;129.69776
Зима;16010100612116200008372 / 116200837;р.Зима - с.Зулумай;8219;105;2460;507.08;БС;01.06.1937;Действует;Иркутское УГМС;53.687;101.32285
Кулой (Кула);03020300212103000028612 / 103002861;р. Кулой - д. Хребтовская;70291;53;1740;82.61;БС 77;04.06.1937;Действует;Северное УГМС;60.83564;42.46753
Читинка (Чита);20030100112118100010413 / 118101041;р.Читинка(Чита) - с.Бургень;6155;76;2640;746.4;БС 77;13.06.1937;Действует;Забайкальское УГМС;52.40403;113.7918
Вага;03020300212103000028162 / 103002816;р. Вага - д. Филяевская;70275;349;13200;59.72;БС 77;22.06.1937;Действует;Северное УГМС;61.10739;42.17715
Кашинка;08010100812110000004292 / 110000429;р.Кашинка - г.Кашин;75104;22;514;113.1;БС;30.06.1937;Действует;Центральное УГМС;57.35985;37.61944
Кичменьга;03020100212103000010736 / 103001073;р.Кичменьга - д.Захарово;70158;20;2010;100.75;БС;13.07.1937;Действует;Северное УГМС;60.05368;45.6336
Ингода;20030100112118100008687 / 118100868;р.Ингода - г.Чита;6136;233;17700;637.17;БС 77;22.07.1937;Действует;Забайкальское УГМС;52.01;113.48
КОНДУРЧА;11010000612112100005990 / 112100599;р.Кондурча - с.Кошки;77242;152;2390;59.49;БС;22.07.1937;Действует;Приволжское УГМС;54.21;50.5
Волошка (Воложка);03010000112103000000826 / 103000082;р.Волошка - д.Тороповская;70027;4;7040;97.14;БС 77;04.08.1937;Действует;Северное УГМС;61.69262;39.27819
Лена (Большая Лена);18030100112117100000011 / 117100001;р.Лена - д.Чанчур;3001;4078;4690;43;усл.;06.08.1937;Действует;Иркутское УГМС;53.81;107
Молога;08010200112110000005248 / 110000524;р.Молога - д.Фабрика;75124;286;6260;126;БС;10.08.1937;Действует;Центральное УГМС;57.79;35.89
Куда;16010100412116200001993 / 116200199;р.Куда - д.Грановщина;8145;15;7840;429.7;БС;18.08.1937;Действует;Иркутское УГМС;52.45784;104.29556
СЫЗРАНКА;11010001312112100008908 / 112100890;р.Сызранка - с.Репьёвка;77329;30;4380;48;БС;31.08.1937;Действует;Приволжское УГМС;53.16;48.08
Колыма (пр. Каменная Колыма);19010100412019000000019 / 119000001;р.Колыма - п.Зырянка;1018;969;287000;29.16;БС 77;01.09.1937;Действует;Якутское УГМС;65.72;150.67
ХИЛОК;16030000312116300012262 / 116301226;р.Хилок - г.Хилок;7096;522;15400;795.23;БС 77;01.09.1937;Действует;Забайкальское УГМС;51.3494;110.4694
ПАРАБЕЛЬ;13010700112115200028584 / 115202858;Р.ПАРАБЕЛЬ - С.НОВИКОВО;10468;275;17900;58.41;БС;29.09.1937;Действует;Западно-Сибирское УГМС;58.20894;80.63007
АЛДАН;18030600212117300000011 / 117300001;р.Алдан - ГМС Угино;3220;1384;102000;216.64;БС;01.10.1937;Действует;Якутское УГМС;58.63;128.5
АМУР;20030900212118100000012 / 118100001;р.Амур - с.Тахта;5803;123;1850000;-2.1;БС 77;04.10.1937;Действует;Дальневосточное УГМС;53.13;139.84
ЦНА;09010200212110000028687 / 110002868;р. Цна - с. Кузьмина Гать;75514;365;4260;108.55;БС;07.10.1937;Действует;Центрально-Черноземное УГМС;52.54001;41.49012
Маргаритовка (Пфусунг);20040000212118200008326 / 118200832;р.Маргаритовка - с.Маргаритово;5539;13;763;9.35;БС 77;22.10.1937;Действует;Приморское УГМС;43.39955;134.76154
Уда (Чуна);16010200112116200026545 / 116202654;р.Уда - с.Алыгджер;8299;1062;4980;912.57;БС;23.10.1937;Действует;Иркутское УГМС;53.6311;98.20995
Маревка (Бейцухэ);20030700312118100057654 / 118105765;р.Маревка - пос.Покровка;5277;8;1910;71.87;БС 77;28.10.1937;Действует;Приморское УГМС;46.02709;134.16334
ЯЗЬВА;10010100212111100004969 / 111100496;р. ЯЗЬВА - с. НИЖНЯЯ ЯЗЬВА;76099;19;5840;115.8;БС;05.11.1937;Действует;Уральское УГМС;60.35505;56.81141
КАН;17010300412116100021269 / 116102126;р.Кан - с.Усть-Кан;9340;3;36800;113;БС 77;07.12.1937;Действует;Среднесибирское УГМС;56.41;93.95
Самара (Большая Самара);20030600112118100049227 / 118104922;р.Самара(Большая Самара) - с.Самара;5036;25;1180;64.86;БС;08.12.1937;Действует;Дальневосточное УГМС;47.82567;131.22511
Оленёк;18020000212117600047229 / 117604722;р.Оленек - п.ст.Тюмяти;3812;227;198000;-3.05;БС 77;01.01.1938;Действует;Якутское УГМС;71.91;123.56
Сылва;10010100812111100012210 / 111101221;р. СЫЛВА - пгт ШАМАРЫ;76692;291;2160;208.98;БС;16.03.1938;Действует;Уральское УГМС;57.3492;58.23374
Борзя;20030100312118100006612 / 118100661;р.Борзя - г.Борзя;6096;141;3980;673.18;БС 77;27.03.1938;Действует;Забайкальское УГМС;50.40333;116.50711
ИРТЫШ;14010700112115300000027 / 115101057;р. Иртыш - с. Уват;11057;416;1530000;25.83;БС;08.04.1938;Действует;Обь-Иртышское УГМС;59.13;68.9
Онон;20030100312118100003482 / 118100348;р.Онон - с.Бытэв;6077;437;49500;740.04;БС 77;10.04.1938;Действует;Забайкальское УГМС;50.16295;113.12992
МАРХА;18030800412117400016906 / 117401690;р.Марха - с.Малыкай;3367;159;89600;104.55;БС;24.04.1938;Действует;Якутское УГМС;63.5;117.03
Тембенчи;17010700212116100079085 / 116107908;р.Тембенчи - факт.Тембенчи;9419;89;18900;187.03;БС 77;27.04.1938;Действует;Среднесибирское УГМС;64.95;98.9
Бия;13010100212115100000014 / 115100001;Р.БИЯ - С.ТУРОЧАК;10044;220;25300;307.31;БС 77;02.05.1938;Действует;Западно-Сибирское УГМС;52.25405;87.10345
АМУР;20030600112118100000012 / 118100001;р.Амур - г.Хабаровск(г.ст.);5013;962;1630000;24.1;БС 77;13.05.1938;Действует;Дальневосточное УГМС;48.48392;135.03352
Пякупур;15040000112115300054854 / 115305485;р. Пяку-Пур - г. Тарко-Сале;11574;2.9;31400;15.27;БС 77;01.08.1938;Действует;Обь-Иртышское УГМС;64.92999;77.77852
ШИЛКА;20030100412118100003474 / 118100347;р.Шилка - с.Усть-Онон;6065;552;133000;496.8;БС 77;06.08.1938;Действует;Забайкальское УГМС;51.70246;115.83755
Вятка;10010300212111100029744 / 111102974;P.BЯTKA - C.KPACHOГЛИHЬE;76550;1212;2320;166.03;БС;07.08.1938;Действует;Верхне-Волжское УГМС;58.80729;52.40272
АДЫЧА;18040200112117700011357 / 117701135;р.Адыча(Адыаччы) - г.п.Юрдюк-Кумах;3445;26;89600;108.26;БС;09.08.1938;Действует;Якутское УГМС;68.01;135.28
ИРТЫШ;14010100312115300000027 / 115101057;р. Иртыш - д. Карташово;11051;1600;804000;58.78;БС;16.08.1938;Действует;Обь-Иртышское УГМС;56.11;74.73
